train_loss,train_acc,val_loss,val_acc,learning_rate
1.4917773336172104,45.4375,1.2245298290252686,50.0,0.0003
1.3094531339406967,50.28125,1.2175395727157592,52.375,0.0002926829491861254
1.241710352897644,53.671875,1.215059881210327,57.375,0.0002714480406590546
1.2180971884727478,55.828125,1.1285419368743896,58.75,0.0002383738952177247
1.1959748786687852,57.796875,1.1210800290107727,61.375,0.0001966980406590546
1.1672483101487159,58.609375,1.1055506944656373,64.25,0.00015049999999999997
1.1146842530369758,62.359375,1.0710479855537414,64.875,0.00010430195934094535
1.0962192386388778,62.5625,1.0349249935150147,67.0,6.262610478227527e-05
1.0763989052176475,64.125,1.0217279839515685,67.375,2.955195934094537e-05
1.0564702937006951,66.0,1.0200937271118165,68.375,8.317050813874547e-06
1.2103008365631103,56.328125,1.0940057754516601,65.375,0.0003
1.2016598331928252,56.484375,1.2271230745315551,59.375,0.00029815940691897306
1.190424700677395,56.9375,1.1522077131271362,62.375,0.0002926829491861254
1.2078939199447631,56.171875,1.3044748830795287,53.125,0.00028370547536616097
1.1772163286805153,58.03125,1.1326228094100952,61.125,0.0002714480406590546
1.1584193444252013,59.171875,1.0912788009643555,64.125,0.00025621246378738883
1.1606369763612747,59.25,1.0904051017761232,59.75,0.0002383738952177247
1.1579798901081084,58.84375,1.0886180901527405,65.75,0.0002183715797110622
1.1426650163531304,60.796875,1.0627601194381713,65.75,0.0001966980406590546
1.119940911233425,61.453125,1.0562100648880004,64.625,0.00017388695252351449
1.106069069504738,62.90625,1.0573800206184387,65.0,0.00015049999999999997
1.0915199342370032,63.140625,1.05583683013916,65.875,0.00012711304747648549
1.0741138377785682,64.703125,1.03179514169693,66.875,0.00010430195934094535
1.0661716547608375,64.5,1.0025632667541504,68.75,8.262842028893775e-05
1.0547541090846062,66.15625,1.0114946389198303,67.0,6.262610478227527e-05
1.0445285987854005,66.3125,1.0058466720581054,69.5,4.478753621261114e-05
1.0325783172249794,66.875,1.013733332157135,68.375,2.955195934094537e-05
1.0255806252360344,67.609375,0.9914077115058899,69.0,1.7294524633839014e-05
1.018988251388073,67.71875,0.9927263379096984,70.0,8.317050813874547e-06
1.0140455263853072,68.203125,0.987740786075592,69.625,2.8405930810269197e-06
1.1300486636161804,60.59375,1.0940948510169983,64.75,0.0003
1.1937229898571968,57.609375,1.1301512145996093,62.0,0.0002995391413931026
1.166657131910324,58.53125,1.1301625728607179,60.75,0.00029815940691897306
1.1525714582204818,59.734375,1.103597719669342,65.0,0.00029586930309945264
1.148983025252819,60.359375,1.0861748743057251,64.625,0.0002926829491861254
1.1496851649880409,59.265625,1.0557422542572021,63.75,0.0002886199901104373
1.1485958060622214,60.59375,1.0533757019042969,64.25,0.00028370547536616097
1.1194718769192695,61.640625,1.0894864106178284,60.125,0.0002779697045709368
1.1341418197751045,60.625,1.0824551367759705,64.25,0.0002714480406590546
1.121671395301819,61.796875,1.0767817449569703,64.0,0.00026418069185720465
1.1229647436738015,62.15625,1.0596008253097535,66.75,0.00025621246378738883
1.1145109397172928,61.171875,1.1014706563949586,62.25,0.0002475924832253625
1.1018727126717567,62.1875,1.0437277340888977,68.0,0.0002383738952177247
1.108574797809124,62.21875,1.0290738439559937,67.375,0.0002286135354250343
1.0920019003748893,62.96875,1.0128532576560973,66.625,0.0002183715797110622
